ClaimNum,CatastropheCode,RiskDescription, Claim Cost ,CurrencyDesc,LossDate
1613,2025 Feb flooding,Houseowners Combined,390229.25,PULA,2/20/2025
1614,2025 Feb flooding,Houseowners Combined,75824.52,PULA,2/19/2025
1619,2025 Feb flooding,Houseowners Combined,7157.00,PULA,2/19/2025
1621,2025 Feb flooding,Houseowners Combined,5480.80,PULA,2/20/2025
1623,2025 Feb flooding,Houseowners Combined,28114.00,PULA,2/19/2025
1624,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1625,2025 Feb flooding,Houseowners Combined,9999.00,PULA,2/19/2025
1627,2025 Feb flooding,Houseowners Combined,23111.95,PULA,2/19/2025
1628,2025 Feb flooding,Houseowners Combined,15440.00,PULA,2/19/2025
1629,2025 Feb flooding,Houseowners Combined,18900.00,PULA,2/19/2025
1630,2025 Feb flooding,Houseowners Combined,11068.00,PULA,2/20/2025
1631,2025 Feb flooding,Houseowners Combined,18175.00,PULA,2/19/2025
1634,2025 Feb flooding,Houseowners Combined,20694.20,PULA,2/19/2025
1635,2025 Feb flooding,Houseowners Combined,9822.67,PULA,2/19/2025
1636,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1637,2025 Feb flooding,Houseowners Combined,17433.25,PULA,2/19/2025
1638,2025 Feb flooding,Houseowners Combined,36189.00,PULA,2/20/2025
1639,2025 Feb flooding,Houseowners Combined,33738.55,PULA,2/20/2025
1640,2025 Feb flooding,Houseowners Combined,33045.00,PULA,2/19/2025
1641,2025 Feb flooding,Houseowners Combined,3150.00,PULA,2/19/2025
1643,2025 Feb flooding,Houseowners Combined,35710.40,PULA,2/20/2025
1644,2025 Feb flooding,Houseowners Combined,8813.40,PULA,2/19/2025
1645,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1646,2025 Feb flooding,Houseowners Combined,127677.30,PULA,2/20/2025
1648,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1649,2025 Feb flooding,Houseowners Combined,73986.25,PULA,2/19/2025
1650,2025 Feb flooding,Houseowners Combined,45914.67,PULA,2/19/2025
1651,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1652,2025 Feb flooding,Houseowners Combined,50350.00,PULA,2/20/2025
1653,2025 Feb flooding,Houseowners Combined,19506.00,PULA,2/19/2025
1654,2025 Feb flooding,Houseowners Combined,30677.00,PULA,2/19/2025
1655,2025 Feb flooding,Houseowners Combined,21598.60,PULA,2/19/2025
1656,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1659,2025 Feb flooding,Houseowners Combined,25372.55,PULA,2/19/2025
1660,2025 Feb flooding,Houseowners Combined,23421.80,PULA,2/19/2025
1662,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1663,2025 Feb flooding,Houseowners Combined,1904.36,PULA,2/19/2025
1665,2025 Feb flooding,Houseowners Combined,197176.16,PULA,2/19/2025
1666,2025 Feb flooding,Houseowners Combined,10100.00,PULA,2/19/2025
